id,paper_name,data_description,dataset_name,query,method,answer,std_error,treatment,outcome,controls,instrument_var,running_var,temporal_var,state_var,interaction_var,is_rct,is_multirct
1,QRData,"The CSV file ihdp_0.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_0.csv,Does home visit from specialist doctors lead to an improvement in cognitive scores?,ols,4.021,0.143,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
2,QRData,"The CSV file ihdp_1.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_1.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.081,0.127,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
3,QRData,"The CSV file ihdp_2.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_2.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.194,0.15,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
4,QRData,"The CSV file ihdp_3.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_3.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.272,0.211,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
5,QRData,"The CSV file ihdp_4.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_4.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.229,0.269,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
6,QRData,"The CSV file ihdp_5.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_5.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.131,0.142,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
7,QRData,"The CSV file ihdp_6.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_6.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,3.84,0.11,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
8,QRData,"The CSV file ihdp_7.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_7.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,3.657,0.205,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
9,QRData,"The CSV file ihdp_8.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_8.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,12.099,2.326,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
10,QRData,"The CSV file ihdp_9.csv contains data obtained from the Infant Health and Development Program (IHDP). The randomized study is designed to evaluate the effect of home visits from specialist doctors on the cognitive test scores of premature infants. The confounders x (x1-x25) correspond to collected measurements of the children and their mothers, including measurements on the child (birth weight, head circumference, weeks born preterm, birth order, first born, neonatal health index, sex, twin status), as well as behaviors engaged in during pregnancy (smoked cigarettes, drank alcohol, took drugs) and measurements on the mother at the time she gave birth (age, marital status, educational attainment, whether she worked during pregnancy, whether she received prenatal care) and the site (8 total) in which the family resided at the start of the intervention. There are 6 continuous covariates and 19 binary covariates.",ihdp_9.csv,What is the effect of home visits on the cognitive test scores of children who actually received the intervention?,ols,4.897,0.796,treatment,y,"x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25",,,,,,1,0
